freq,unit,na_item,geo,time,value,geo_label
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2007,69.1,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2008,69.1,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2009,69.5,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2010,69.7,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2011,67.4,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2012,68.1,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2013,70.1,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2014,68.9,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2015,67.6,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2016,67.3,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2017,65.5,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2018,64.9,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2019,65.2,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2020,64.3,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2021,64.5,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2022,65.3,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2023,66.7,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,PT,2024,68.4,Portugal
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2000,22.2,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2001,23.5,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2002,26.5,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2003,27.5,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2004,31.6,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2005,32.7,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2006,36.6,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2007,40.2,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2008,47.3,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2009,48.0,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2010,48.7,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2011,51.1,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2012,52.5,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2013,50.3,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2014,51.4,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2015,53.2,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2016,55.8,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2017,59.4,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2018,62.1,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2019,65.1,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2020,66.0,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2021,66.7,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2022,68.1,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2023,73.1,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,RO,2024,72.8,Romania
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2000,124.1,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2001,118.9,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2002,118.6,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2003,120.6,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2004,122.5,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2005,120.4,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2006,122.4,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2007,123.8,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2008,121.4,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2009,118.8,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2010,117.6,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2011,116.6,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2012,116.8,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2013,114.5,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2014,113.3,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2015,114.5,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2016,111.0,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2017,108.6,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2018,107.7,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2019,109.7,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2020,109.6,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2021,112.9,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2022,107.6,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2023,105.7,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SE,2024,108.4,Sweden
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2000,76.7,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2001,76.9,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2002,75.6,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2003,77.2,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2004,79.0,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2005,82.6,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2006,83.6,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2007,84.2,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2008,83.8,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2009,78.0,Slovenia
